#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
DEU,Germany,181206,Proportion of births attended by skilled health personnel (%),98.8,2014-2019
DEU,Germany,182806,Population using safely managed drinking-water services (%),100,2017
DEU,Germany,183206,"Overall loss in HDI value due to inequality, average annual change (%)",0.348363222,2010/2019
DEU,Germany,183506,"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are female (%)",27.55567,2009-2019
DEU,Germany,183706,"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are male (%)",72.44433,2009-2019
DEU,Germany,186106,Income share held by richest 1%,12.530001,2010-2019
DEU,Germany,186806,Average annual change in the share of bottom 40 percent (%),-0.1326288,2005/2018
DEU,Germany,186906,Income share held by poorest 40%,20.4,2010-2018
DEU,Germany,187006,Income share held by richest 10 %,24.6,2010-2018
DEU,Germany,194306,Share of seats held by women in local government (%),27.52,2017-2019
DEU,Germany,195206,Population using safely managed sanitation services (%),97,2017
DEU,Germany,44206,Total population (millions),83.135643,2030
DEU,Germany,47906,Median age (years),45.744,2020
DEU,Germany,110806,"Net migration rate (per 1,000 people)",6.569,2020
DEU,Germany,21806,Refugees by country of origin (thousands),0.073,2019
DEU,Germany,23806,Population with at least some secondary education (% ages 25 and older),96.08825,2019
DEU,Germany,23906,"Population with at least some secondary education, female (% ages 25 and older)",95.85821,2019
DEU,Germany,24006,"Population with at least some secondary education, male (% ages 25 and older)",96.32719,2019
DEU,Germany,24106,"Mean years of schooling, female (years)",13.88232,2019
DEU,Germany,24206,"Mean years of schooling, male (years)",14.43136,2019
DEU,Germany,31706,Share of seats in parliament (% held by women),31.61953728,2019
DEU,Germany,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",8.095,2019
DEU,Germany,43006,Vulnerable employment (% of total employment),5.62,2019
DEU,Germany,44206,Total population (millions),83.517046,2019
DEU,Germany,45106,Urban population (%),77.4,2019
DEU,Germany,48706,"Labour force participation rate (% ages 15 and older), female",55.275,2019
DEU,Germany,48806,"Labour force participation rate (% ages 15 and older), male",66.565,2019
DEU,Germany,49006,Sex ratio at birth (male to female births),1.05,2019
DEU,Germany,52606,"Remittances, inflows (% of GDP)",0.42838536,2019
DEU,Germany,53506,"Foreign direct investment, net inflows (% of GDP)",1.3264729,2019
DEU,Germany,63106,Population ages 15–64 (millions),53.983518,2019
DEU,Germany,64306,"Infants lacking immunization, measles (% of one-year-olds)",3,2019
DEU,Germany,64406,"Infants lacking immunization, DTP (% of one-year-olds)",2,2019
DEU,Germany,65606,Gross fixed capital formation (% of GDP),21.73057833,2019
DEU,Germany,68606,Gender Inequality Index (GII),0.084,2019
DEU,Germany,69206,Life expectancy at birth (years),81.33,2019
DEU,Germany,69706,Expected years of schooling (years),16.97719,2019
DEU,Germany,71406,Inequality-adjusted education index,0.921794745,2019
DEU,Germany,71506,Inequality-adjusted life expectancy index,0.907684,2019
DEU,Germany,71606,Inequality-adjusted income index,0.785573804,2019
DEU,Germany,73506,Overall loss in HDI due to inequality (%),8.236536431,2019
DEU,Germany,101606,Inequality in education (%),2.280957858,2019
DEU,Germany,101706,Inequality in income (%),17.65562,2019
DEU,Germany,101806,Inequality in life expectancy (%),3.8,2019
DEU,Germany,103006,Mean years of schooling (years),14.15168,2019
DEU,Germany,103206,Life expectancy index,0.943538462,2019
DEU,Germany,103606,Income index,0.954010224,2019
DEU,Germany,103706,Education index,0.943311278,2019
DEU,Germany,110906,"Unemployment, youth (% ages 15–24)",5.417,2019
DEU,Germany,111306,Private capital flows (% of GDP),4.370625,2019
DEU,Germany,120606,"Life expectancy at birth, female (years)",83.728,2019
DEU,Germany,121106,"Life expectancy at birth, male (years)",78.944,2019
DEU,Germany,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),21.349,2019
DEU,Germany,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),33.359,2019
DEU,Germany,123306,"Expected years of schooling, female (years)",16.91137,2019
DEU,Germany,123406,"Expected years of schooling, male (years)",17.03992,2019
DEU,Germany,132706,Population ages 65 and older (millions),18.008544,2019
DEU,Germany,132806,Population under age 5 (millions),3.987424,2019
DEU,Germany,133206,Exports and imports (% of GDP),88.098661,2019
DEU,Germany,135006,Coefficient of human inequality,7.912192619,2019
DEU,Germany,137506,Human Development Index (HDI),0.947,2019
DEU,Germany,138806,Inequality-adjusted HDI (IHDI),0.869,2019
DEU,Germany,140606,"Unemployment, total (% of labour force)",3.043,2019
DEU,Germany,146206,HDI rank,6,2019
DEU,Germany,147906,Youth not in school or employment (% ages 15-24),5.409,2019
DEU,Germany,148206,Labour force participation rate (% ages 15 and older),60.811,2019
DEU,Germany,148306,Employment to population ratio (% ages 15 and older),58.961,2019
DEU,Germany,150606,Employment in agriculture (% of total employment),1.21,2019
DEU,Germany,150706,Employment in services (% of total employment),71.747,2019
DEU,Germany,169706,Total unemployment rate (female to male ratio),0.805862997,2019
DEU,Germany,169806,Youth unemployment rate (female to male ratio),0.797018925,2019
DEU,Germany,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",46.67691478,2019
DEU,Germany,178306,Gross capital formation (% of GDP),21.551492,2019
DEU,Germany,179406,Skilled labour force (% of labour force),87.3212,2019
DEU,Germany,181606,Red List Index (value),0.98362,2019
DEU,Germany,194506,"Gross domestic product (GDP), total (2017 PPP $ billions)",4473.821955,2019
DEU,Germany,194906,GDP per capita (2017 PPP $),53815.3654,2019
DEU,Germany,195706,Gross national income (GNI) per capita (constant 2017 PPP$),55314.35355,2019
DEU,Germany,23806,Population with at least some secondary education (% ages 25 and older),96.08825,2018
DEU,Germany,23906,"Population with at least some secondary education, female (% ages 25 and older)",95.85821,2018
DEU,Germany,24006,"Population with at least some secondary education, male (% ages 25 and older)",96.32719,2018
DEU,Germany,24106,"Mean years of schooling, female (years)",13.7111,2018
DEU,Germany,24206,"Mean years of schooling, male (years)",14.5532,2018
DEU,Germany,31706,Share of seats in parliament (% held by women),31.49100257,2018
DEU,Germany,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",8.087,2018
DEU,Germany,43006,Vulnerable employment (% of total employment),5.653,2018
DEU,Germany,43606,"Internet users, total (% of population)",89.7391,2018
DEU,Germany,44206,Total population (millions),83.124413,2018
DEU,Germany,45106,Urban population (%),77.3,2018
DEU,Germany,46006,Mobile phone subscriptions (per 100 people),129.324,2018
DEU,Germany,48706,"Labour force participation rate (% ages 15 and older), female",55.23,2018
DEU,Germany,48806,"Labour force participation rate (% ages 15 and older), male",66.655,2018
DEU,Germany,52306,Research and development expenditure (% of GDP),3.09415,2018
DEU,Germany,52606,"Remittances, inflows (% of GDP)",0.4310469,2018
DEU,Germany,53506,"Foreign direct investment, net inflows (% of GDP)",4.2525345,2018
DEU,Germany,57206,"Mortality rate, infant (per 1,000 live births)",3.087433,2018
DEU,Germany,57506,"Mortality rate, under-five (per 1,000 live births)",3.660457,2018
DEU,Germany,58006,"HIV prevalence, adult (% ages 15-49)",0.1,2018
DEU,Germany,61006,"Homicide rate (per 100,000 people)",0.947976619,2018
DEU,Germany,63106,Population ages 15–64 (millions),53.961887,2018
DEU,Germany,64306,"Infants lacking immunization, measles (% of one-year-olds)",3,2018
DEU,Germany,64406,"Infants lacking immunization, DTP (% of one-year-olds)",2,2018
DEU,Germany,65606,Gross fixed capital formation (% of GDP),21.16150426,2018
DEU,Germany,68606,Gender Inequality Index (GII),0.084,2018
DEU,Germany,69206,Life expectancy at birth (years),81.18,2018
DEU,Germany,69706,Expected years of schooling (years),16.97719,2018
DEU,Germany,71406,Inequality-adjusted education index,0.916994466,2018
DEU,Germany,71506,Inequality-adjusted life expectancy index,0.905460235,2018
DEU,Germany,71606,Inequality-adjusted income index,0.784790961,2018
DEU,Germany,73506,Overall loss in HDI due to inequality (%),8.350951374,2018
DEU,Germany,97306,Natural resource depletion (% of GNI),0.031373602,2018
DEU,Germany,101606,Inequality in education (%),2.7227,2018
DEU,Germany,101706,Inequality in income (%),17.7,2018
DEU,Germany,101806,Inequality in life expectancy (%),3.8004,2018
DEU,Germany,103006,Mean years of schooling (years),14.13215,2018
DEU,Germany,103206,Life expectancy index,0.941230769,2018
DEU,Germany,103606,Income index,0.953573464,2018
DEU,Germany,103706,Education index,0.942660278,2018
DEU,Germany,110906,"Unemployment, youth (% ages 15–24)",6.183,2018
DEU,Germany,111106,International inbound tourists (thousands),38881,2018
DEU,Germany,111306,Private capital flows (% of GDP),4.914195,2018
DEU,Germany,120606,"Life expectancy at birth, female (years)",83.606,2018
DEU,Germany,121106,"Life expectancy at birth, male (years)",78.772,2018
DEU,Germany,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),20.982,2018
DEU,Germany,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),33.06,2018
DEU,Germany,123306,"Expected years of schooling, female (years)",17.0127,2018
DEU,Germany,123406,"Expected years of schooling, male (years)",17.1782,2018
DEU,Germany,123506,"Estimated gross national income per capita, female (2017 PPP $)",45121.89444,2018
DEU,Germany,123606,"Estimated gross national income per capita, male (2017 PPP $)",65455.9638,2018
DEU,Germany,128306,"Prison population (per 100,000 people)",79.1,2018
DEU,Germany,132706,Population ages 65 and older (millions),17.840131,2018
DEU,Germany,132806,Population under age 5 (millions),3.868867,2018
DEU,Germany,133206,Exports and imports (% of GDP),88.670841,2018
DEU,Germany,135006,Coefficient of human inequality,8.074366667,2018
DEU,Germany,136906,"Human Development Index (HDI), female",0.930957279,2018
DEU,Germany,137006,"Human Development Index (HDI), male",0.961337295,2018
DEU,Germany,137506,Human Development Index (HDI),0.946,2018
DEU,Germany,137906,Gender Development Index (GDI),0.968398172,2018
DEU,Germany,138806,Inequality-adjusted HDI (IHDI),0.867,2018
DEU,Germany,140606,"Unemployment, total (% of labour force)",3.384,2018
DEU,Germany,146206,HDI rank,4,2018
DEU,Germany,147906,Youth not in school or employment (% ages 15-24),5.9,2018
DEU,Germany,148206,Labour force participation rate (% ages 15 and older),60.827,2018
DEU,Germany,148306,Employment to population ratio (% ages 15 and older),58.769,2018
DEU,Germany,150606,Employment in agriculture (% of total employment),1.249,2018
DEU,Germany,150706,Employment in services (% of total employment),71.411,2018
DEU,Germany,164406,Adjusted net savings (% of GNI),14.438426,2018
DEU,Germany,169706,Total unemployment rate (female to male ratio),0.767405063,2018
DEU,Germany,169806,Youth unemployment rate (female to male ratio),0.720310296,2018
DEU,Germany,170006,Concentration index (exports) (value),0.093467089,2018
DEU,Germany,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",46.73592207,2018
DEU,Germany,176806,Programme for International Student Assessment (PISA) score in science,502.9889033,2018
DEU,Germany,176906,Programme for International Student Assessment (PISA) score in reading,498.2792569,2018
DEU,Germany,177006,Programme for International Student Assessment (PISA) score in mathematics,500.0437805,2018
DEU,Germany,178306,Gross capital formation (% of GDP),21.798695,2018
DEU,Germany,179406,Skilled labour force (% of labour force),87.399,2018
DEU,Germany,181706,Rural population with access to electricity (%),100,2018
DEU,Germany,182206,"Tuberculosis incidence (per 100,000 people)",7.3,2018
DEU,Germany,194506,"Gross domestic product (GDP), total (2017 PPP $ billions)",4448.723374,2018
DEU,Germany,194906,GDP per capita (2017 PPP $),53659.98929,2018
DEU,Germany,195606,"Carbon dioxide emissions, production emissions per capita (tonnes)",9.130913855,2018
DEU,Germany,195706,Gross national income (GNI) per capita (constant 2017 PPP$),55154.64956,2018
DEU,Germany,196006,"Use of fertilizer nutrient nitrogen (N), per area of cropland (kg per hectare)",112.51,2018
DEU,Germany,196106,"Use of fertilizer nutrient phosphorus (expressed as P2O5), per area of cropland (kg per hectare)",16.86,2018
DEU,Germany,23806,Population with at least some secondary education (% ages 25 and older),96.19894,2017
DEU,Germany,23906,"Population with at least some secondary education, female (% ages 25 and older)",95.926525,2017
DEU,Germany,24006,"Population with at least some secondary education, male (% ages 25 and older)",96.483855,2017
DEU,Germany,24106,"Mean years of schooling, female (years)",13.6317,2017
DEU,Germany,24206,"Mean years of schooling, male (years)",14.4688,2017
DEU,Germany,31706,Share of seats in parliament (% held by women),31.49100257,2017
DEU,Germany,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",8.079,2017
DEU,Germany,43006,Vulnerable employment (% of total employment),5.839,2017
DEU,Germany,43606,"Internet users, total (% of population)",84.3955,2017
DEU,Germany,44206,Total population (millions),82.658409,2017
DEU,Germany,45106,Urban population (%),77.3,2017
DEU,Germany,46006,Mobile phone subscriptions (per 100 people),132.759,2017
DEU,Germany,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",12.30285,2017
DEU,Germany,48706,"Labour force participation rate (% ages 15 and older), female",54.989,2017
DEU,Germany,48806,"Labour force participation rate (% ages 15 and older), male",66.274,2017
DEU,Germany,52306,Research and development expenditure (% of GDP),3.03763,2017
DEU,Germany,52606,"Remittances, inflows (% of GDP)",0.43101009,2017
DEU,Germany,53506,"Foreign direct investment, net inflows (% of GDP)",3.225093,2017
DEU,Germany,57206,"Mortality rate, infant (per 1,000 live births)",3.150179,2017
DEU,Germany,57506,"Mortality rate, under-five (per 1,000 live births)",3.740205,2017
DEU,Germany,57806,"Mortality rate, female adult (per 1,000 people)",48.026,2017
DEU,Germany,57906,"Mortality rate, male adult (per 1,000 people)",86.511,2017
DEU,Germany,58006,"HIV prevalence, adult (% ages 15-49)",0.1,2017
DEU,Germany,61006,"Homicide rate (per 100,000 people)",0.983565991,2017
DEU,Germany,63106,Population ages 15–64 (millions),53.874953,2017
DEU,Germany,63206,"Gross enrolment ratio, primary (% of primary school-age population)",104.02236,2017
DEU,Germany,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",98.40928,2017
DEU,Germany,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",70.24665,2017
DEU,Germany,64306,"Infants lacking immunization, measles (% of one-year-olds)",3,2017
DEU,Germany,64406,"Infants lacking immunization, DTP (% of one-year-olds)",2,2017
DEU,Germany,65606,Gross fixed capital formation (% of GDP),20.52052549,2017
DEU,Germany,68606,Gender Inequality Index (GII),0.084,2017
DEU,Germany,69206,Life expectancy at birth (years),81.039,2017
DEU,Germany,69706,Expected years of schooling (years),16.87524,2017
DEU,Germany,71406,Inequality-adjusted education index,0.914452968,2017
DEU,Germany,71506,Inequality-adjusted life expectancy index,0.910889692,2017
DEU,Germany,71606,Inequality-adjusted income index,0.783005736,2017
DEU,Germany,73506,Overall loss in HDI due to inequality (%),8.059384942,2017
DEU,Germany,89006,"Maternal mortality ratio (deaths per 100,000 live births)",7,2017
DEU,Germany,97306,Natural resource depletion (% of GNI),0.025955602,2017
DEU,Germany,101606,Inequality in education (%),2.7,2017
DEU,Germany,101706,Inequality in income (%),17.7,2017
DEU,Germany,101806,Inequality in life expectancy (%),3,2017
DEU,Germany,103006,Mean years of schooling (years),14.13215,2017
DEU,Germany,103206,Life expectancy index,0.939061538,2017
DEU,Germany,103606,Income index,0.951404296,2017
DEU,Germany,103706,Education index,0.939828333,2017
DEU,Germany,110906,"Unemployment, youth (% ages 15–24)",6.749,2017
DEU,Germany,111106,International inbound tourists (thousands),37452,2017
DEU,Germany,111306,Private capital flows (% of GDP),7.544123,2017
DEU,Germany,120606,"Life expectancy at birth, female (years)",83.48,2017
DEU,Germany,121106,"Life expectancy at birth, male (years)",78.609,2017
DEU,Germany,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),20.637,2017
DEU,Germany,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),32.79,2017
DEU,Germany,123306,"Expected years of schooling, female (years)",16.8776,2017
DEU,Germany,123406,"Expected years of schooling, male (years)",17.0334,2017
DEU,Germany,123506,"Estimated gross national income per capita, female (2017 PPP $)",44479.7099,2017
DEU,Germany,123606,"Estimated gross national income per capita, male (2017 PPP $)",64544.00965,2017
DEU,Germany,128306,"Prison population (per 100,000 people)",79.7,2017
DEU,Germany,132706,Population ages 65 and older (millions),17.665332,2017
DEU,Germany,132806,Population under age 5 (millions),3.731619,2017
DEU,Germany,133006,"Gross enrolment ratio, pre-primary (% of preschool-age children)",109.1274,2017
DEU,Germany,133206,Exports and imports (% of GDP),87.693398,2017
DEU,Germany,135006,Coefficient of human inequality,7.8,2017
DEU,Germany,136906,"Human Development Index (HDI), female",0.927451089,2017
DEU,Germany,137006,"Human Development Index (HDI), male",0.957512757,2017
DEU,Germany,137506,Human Development Index (HDI),0.943,2017
DEU,Germany,137906,Gender Development Index (GDI),0.96860442,2017
DEU,Germany,138806,Inequality-adjusted HDI (IHDI),0.867,2017
DEU,Germany,140606,"Unemployment, total (% of labour force)",3.746,2017
DEU,Germany,147206,International student mobility (% of total tertiary enrolment),4.42081,2017
DEU,Germany,147906,Youth not in school or employment (% ages 15-24),6.26,2017
DEU,Germany,148206,Labour force participation rate (% ages 15 and older),60.511,2017
DEU,Germany,148306,Employment to population ratio (% ages 15 and older),58.245,2017
DEU,Germany,150606,Employment in agriculture (% of total employment),1.277,2017
DEU,Germany,150706,Employment in services (% of total employment),71.319,2017
DEU,Germany,164406,Adjusted net savings (% of GNI),14.333713,2017
DEU,Germany,169706,Total unemployment rate (female to male ratio),0.805002428,2017
DEU,Germany,169806,Youth unemployment rate (female to male ratio),0.759074171,2017
DEU,Germany,170006,Concentration index (exports) (value),0.099025987,2017
DEU,Germany,175106,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",46.79980008,2017
DEU,Germany,175706,Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),99.19924927,2017
DEU,Germany,175906,"Share of graduates in science, technology, engineering and mathematics programmes at tertiary level, female (%)",19.16309,2017
DEU,Germany,178306,Gross capital formation (% of GDP),20.747121,2017
DEU,Germany,179406,Skilled labour force (% of labour force),87.3319,2017
DEU,Germany,180706,"Share of graduates in science, technology, engineering and mathematics programmes at tertiary level, male (%)",52.69791,2017
DEU,Germany,181206,Proportion of births attended by skilled health personnel (%),98.8,2017
DEU,Germany,181706,Rural population with access to electricity (%),100,2017
DEU,Germany,181806,Current health expenditure (% of GDP),11.246835,2017
DEU,Germany,182206,"Tuberculosis incidence (per 100,000 people)",7.4,2017
DEU,Germany,182806,Population using safely managed drinking-water services (%),100,2017
DEU,Germany,183506,"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are female (%)",27.55567,2017
DEU,Germany,183706,"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are male (%)",72.44433,2017
DEU,Germany,183906,"Labour share of GDP, comprising wages and social protection transfers (%)",60.29999924,2017
DEU,Germany,186706,"Carbon dioxide emissions, per unit of GDP (kg per 2010 US$ of GDP)",0.19734,2017
DEU,Germany,194506,"Gross domestic product (GDP), total (2017 PPP $ billions)",4381.793827,2017
DEU,Germany,194906,GDP per capita (2017 PPP $),53011.76816,2017
DEU,Germany,195206,Population using safely managed sanitation services (%),97,2017
DEU,Germany,195606,"Carbon dioxide emissions, production emissions per capita (tonnes)",9.653783682,2017
DEU,Germany,195706,Gross national income (GNI) per capita (constant 2017 PPP$),54368.28549,2017
DEU,Germany,195906,"Domestic material consumption per capita, (tonnes)",14.67891,2017
DEU,Germany,196006,"Use of fertilizer nutrient nitrogen (N), per area of cropland (kg per hectare)",125.02,2017
DEU,Germany,196106,"Use of fertilizer nutrient phosphorus (expressed as P2O5), per area of cropland (kg per hectare)",17.42,2017
DEU,Germany,23806,Population with at least some secondary education (% ages 25 and older),96.30963,2016
DEU,Germany,23906,"Population with at least some secondary education, female (% ages 25 and older)",95.99484,2016
DEU,Germany,24006,"Population with at least some secondary education, male (% ages 25 and older)",96.64052,2016
DEU,Germany,24106,"Mean years of schooling, female (years)",13.7672,2016
DEU,Germany,24206,"Mean years of schooling, male (years)",14.5157,2016
DEU,Germany,31706,Share of seats in parliament (% held by women),36.85714286,2016
DEU,Germany,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",8.071,2016
DEU,Germany,43006,Vulnerable employment (% of total employment),5.99,2016
DEU,Germany,43606,"Internet users, total (% of population)",84.1652,2016
DEU,Germany,44206,Total population (millions),82.19377,2016
DEU,Germany,45106,Urban population (%),77.2,2016
DEU,Germany,46006,Mobile phone subscriptions (per 100 people),125.885,2016
DEU,Germany,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",12.14626,2016
DEU,Germany,48706,"Labour force participation rate (% ages 15 and older), female",54.711,2016
DEU,Germany,48806,"Labour force participation rate (% ages 15 and older), male",66.176,2016
DEU,Germany,52306,Research and development expenditure (% of GDP),2.91712,2016
DEU,Germany,52606,"Remittances, inflows (% of GDP)",0.43837488,2016
DEU,Germany,53506,"Foreign direct investment, net inflows (% of GDP)",1.8665046,2016
DEU,Germany,57206,"Mortality rate, infant (per 1,000 live births)",3.198712,2016
DEU,Germany,57506,"Mortality rate, under-five (per 1,000 live births)",3.803869,2016
DEU,Germany,57806,"Mortality rate, female adult (per 1,000 people)",49.545,2016
DEU,Germany,57906,"Mortality rate, male adult (per 1,000 people)",89.99,2016
DEU,Germany,58006,"HIV prevalence, adult (% ages 15-49)",0.1,2016
DEU,Germany,61006,"Homicide rate (per 100,000 people)",1.171621645,2016
DEU,Germany,63106,Population ages 15–64 (millions),53.75143,2016
DEU,Germany,63206,"Gross enrolment ratio, primary (% of primary school-age population)",102.67756,2016
DEU,Germany,63306,"Gross enrolment ratio, secondary (% of secondary school-age population)",98.812,2016
DEU,Germany,63406,"Gross enrolment ratio, tertiary (% of tertiary school-age population)",69.58059,2016
DEU,Germany,64306,"Infants lacking immunization, measles (% of one-year-olds)",3,2016
DEU,Germany,64406,"Infants lacking immunization, DTP (% of one-year-olds)",2,2016
DEU,Germany,65606,Gross fixed capital formation (% of GDP),20.30633994,2016
DEU,Germany,68606,Gender Inequality Index (GII),0.076,2016
DEU,Germany,69206,Life expectancy at birth (years),80.902,2016
DEU,Germany,69706,Expected years of schooling (years),16.78934,2016
DEU,Germany,71406,Inequality-adjusted education index,0.913068724,2016
DEU,Germany,71506,Inequality-adjusted life expectancy index,0.909100082,2016
DEU,Germany,71606,Inequality-adjusted income index,0.765165091,2016
DEU,Germany,73506,Overall loss in HDI due to inequality (%),8.607863974,2016
DEU,Germany,89006,"Maternal mortality ratio (deaths per 100,000 live births)",5,2016
DEU,Germany,97106,Fresh water withdrawals (% of total renewable water resources),15.87,2016
DEU,Germany,97306,Natural resource depletion (% of GNI),0.019479161,2016
DEU,Germany,100806,Forest area (% of total land area),32.69120678,2016
DEU,Germany,101606,Inequality in education (%),2.6,2016
DEU,Germany,101706,Inequality in income (%),19.3,2016
DEU,Germany,101806,Inequality in life expectancy (%),2.9728,2016
DEU,Germany,103006,Mean years of schooling (years),14.13215,2016
DEU,Germany,103206,Life expectancy index,0.936953846,2016
DEU,Germany,103606,Income index,0.948159964,2016
DEU,Germany,103706,Education index,0.937442222,2016
DEU,Germany,110906,"Unemployment, youth (% ages 15–24)",7.042,2016
DEU,Germany,111106,International inbound tourists (thousands),35555,2016
DEU,Germany,111306,Private capital flows (% of GDP),7.706448,2016
DEU,Germany,112506,"Suicide rate, male (per 100,000 people, age-standardized)",13.6,2016
DEU,Germany,112606,"Suicide rate, female (per 100,000 people, age-standardized)",4.8,2016
DEU,Germany,120606,"Life expectancy at birth, female (years)",83.353,2016
DEU,Germany,121106,"Life expectancy at birth, male (years)",78.455,2016
DEU,Germany,121206,Young age (0-14) dependency ratio (per 100 people ages 15-64),20.361,2016
DEU,Germany,122006,Old-age (65 and older) dependency ratio (per 100 people ages 15-64),32.554,2016
DEU,Germany,123306,"Expected years of schooling, female (years)",16.8776,2016
DEU,Germany,123406,"Expected years of schooling, male (years)",17.0334,2016
DEU,Germany,123506,"Estimated gross national income per capita, female (2017 PPP $)",43368.61951,2016
DEU,Germany,123606,"Estimated gross national income per capita, male (2017 PPP $)",63365.24643,2016
DEU,Germany,128306,"Prison population (per 100,000 people)",78.2,2016
